Protein	Protein ID	Entry Name	Gene	Protein Length	Coverage	Organism	Protein Existence	Description	Protein Probability	Top Peptide Probability	Combined Total Peptides	Combined Spectral Count	Combined Unique Spectral Count	Combined Total Spectral Count	mix_1 Spectral Count	mix_2 Spectral Count	mix_3 Spectral Count	mix_1 Unique Spectral Count	mix_2 Unique Spectral Count	mix_3 Unique Spectral Count	mix_1 Total Spectral Count	mix_2 Total Spectral Count	mix_3 Total Spectral Count	mix_1 Intensity	mix_2 Intensity	mix_3 Intensity	mix_1 Unique Intensity	mix_2 Unique Intensity	mix_3 Unique Intensity	mix_1 Total Intensity	mix_2 Total Intensity	mix_3 Total Intensity	Indistinguishable Proteins
sp|O95433|AHSA1_HUMAN	O95433	AHSA1_HUMAN	AHSA1	338	53.60	Homo sapiens OX=9606	1:Experimental evidence at protein level	Activator of 90 kDa heat shock protein ATPase homolog 1 	1.0000	0.9990	16	40	40	40	13	17	10	13	17	10	13	17	10	47102151	43703378	64504596	47102151	43703378	64504596	47102151	43703378	64504596		
sp|O95445|APOM_HUMAN	O95445	APOM_HUMAN	APOM	188	17.00	Homo sapiens OX=9606	1:Experimental evidence at protein level	Apolipoprotein M 	1.0000	0.9990	4	9	9	9	4	2	3	4	2	3	4	2	3	49704723	24686680	29241226	49704723	24686680	29241226	49704723	24686680	29241226		
sp|O95466|FMNL1_HUMAN	O95466	FMNL1_HUMAN	FMNL1	1100	6.60	Homo sapiens OX=9606	1:Experimental evidence at protein level	Formin-like protein 1 	1.0000	0.9990	7	7	7	10	2	1	4	2	1	4	3	2	5	2173346	628879	1464890	2173346	628879	1464890	19636774	11887941	3679617		
sp|O95470|SGPL1_HUMAN	O95470	SGPL1_HUMAN	SGPL1	568	21.10	Homo sapiens OX=9606	1:Experimental evidence at protein level	Sphingosine-1-phosphate lyase 1 	1.0000	0.9990	8	16	16	16	7	3	6	7	3	6	7	3	6	11002757	4470301	8922066	11002757	4470301	8922066	11002757	4470301	8922066		
sp|O95486|SC24A_HUMAN	O95486	SC24A_HUMAN	SEC24A	1093	10.70	Homo sapiens OX=9606	1:Experimental evidence at protein level	Protein transport protein Sec24A 	1.0000	0.9990	9	9	9	9	8	1	0	8	1	0	8	1	0	13542127	2186892	     0	13542127	2186892	     0	13542127	2186892	     0		
sp|O95502|NPTXR_HUMAN	O95502	NPTXR_HUMAN	NPTXR	500	26.00	Homo sapiens OX=9606	3:Protein inferred from homology	Neuronal pentraxin receptor 	1.0000	0.9990	11	19	19	19	6	12	1	6	12	1	6	12	1	27025624	31812636	2429034	27025624	31812636	2429034	27025624	31812636	2429034		
sp|O95563|MPC2_HUMAN	O95563	MPC2_HUMAN	MPC2	127	18.90	Homo sapiens OX=9606	1:Experimental evidence at protein level	Mitochondrial pyruvate carrier 2 	1.0000	0.9990	2	8	8	8	4	3	1	4	3	1	4	3	1	9995969	7500701	2605668	9995969	7500701	2605668	9995969	7500701	2605668		
sp|O95571|ETHE1_HUMAN	O95571	ETHE1_HUMAN	ETHE1	254	24.40	Homo sapiens OX=9606	1:Experimental evidence at protein level	Persulfide dioxygenase ETHE1, mitochondrial 	1.0000	0.9990	5	11	11	11	5	2	4	5	2	4	5	2	4	10638342	3531306	13832081	10638342	3531306	13832081	10638342	3531306	13832081		
sp|O95573|ACSL3_HUMAN	O95573	ACSL3_HUMAN	ACSL3	720	28.50	Homo sapiens OX=9606	1:Experimental evidence at protein level	Long-chain-fatty-acid--CoA ligase 3 	1.0000	0.9990	15	28	21	28	19	5	4	16	3	2	19	5	4	41842734	20641427	13433882	33157790	19791048	11154135	41842734	20641427	13433882		
sp|O95630|STABP_HUMAN	O95630	STABP_HUMAN	STAMBP	424	16.00	Homo sapiens OX=9606	1:Experimental evidence at protein level	STAM-binding protein 	1.0000	0.9990	6	8	8	8	4	3	1	4	3	1	4	3	1	23648115	8100215	     0	23648115	8100215	     0	23648115	8100215	     0		
sp|O95670|VATG2_HUMAN	O95670	VATG2_HUMAN	ATP6V1G2	118	61.00	Homo sapiens OX=9606	1:Experimental evidence at protein level	V-type proton ATPase subunit G 2 	1.0000	0.9990	10	51	39	51	14	26	11	10	21	8	14	26	11	84557036	72931330	30724155	62017840	72931330	27997908	84557036	72931330	30724155		
sp|O95671|ASML_HUMAN	O95671	ASML_HUMAN	ASMTL	621	28.70	Homo sapiens OX=9606	1:Experimental evidence at protein level	Probable bifunctional dTTP/UTP pyrophosphatase/methyltransferase protein 	1.0000	0.9990	14	25	25	25	15	3	7	15	3	7	15	3	7	24826423	8783211	29540117	20134428	4188984	29540117	24826423	8783211	29540117		
sp|O95674|CDS2_HUMAN	O95674	CDS2_HUMAN	CDS2	445	19.10	Homo sapiens OX=9606	1:Experimental evidence at protein level	Phosphatidate cytidylyltransferase 2 	1.0000	0.9990	8	14	14	14	9	3	2	9	3	2	9	3	2	17618930	5046202	6225446	17618930	5046202	6225446	17618930	5046202	6225446		
sp|O95716|RAB3D_HUMAN	O95716	RAB3D_HUMAN	RAB3D	219	44.30	Homo sapiens OX=9606	1:Experimental evidence at protein level	Ras-related protein Rab-3D 	1.0000	0.9990	8	30	8	43	9	19	2	4	4	0	13	25	5	20873829	15871342	3078774	13851777	8853068	     0	105499842	104289252	86730138		
sp|O95721|SNP29_HUMAN	O95721	SNP29_HUMAN	SNAP29	258	45.00	Homo sapiens OX=9606	1:Experimental evidence at protein level	Synaptosomal-associated protein 29 	1.0000	0.9990	8	16	16	16	8	5	3	8	5	3	8	5	3	21126801	4411340	4081753	21126801	4411340	4081753	21126801	4411340	4081753		
sp|O95741|CPNE6_HUMAN	O95741	CPNE6_HUMAN	CPNE6	557	47.00	Homo sapiens OX=9606	1:Experimental evidence at protein level	Copine-6 	1.0000	0.9990	23	37	35	42	13	18	6	13	17	5	14	20	8	26511768	78893292	29118257	26511768	78893292	29118257	36476551	95234504	47289713		
sp|O95747|OXSR1_HUMAN	O95747	OXSR1_HUMAN	OXSR1	527	35.70	Homo sapiens OX=9606	1:Experimental evidence at protein level	Serine/threonine-protein kinase 	1.0000	0.9990	17	40	34	40	22	11	7	17	10	7	22	11	7	24641125	21389676	14792909	20211364	9695068	14792909	24641125	21389676	14792909		
sp|O95749|GGPPS_HUMAN	O95749	GGPPS_HUMAN	GGPS1	300	11.70	Homo sapiens OX=9606	1:Experimental evidence at protein level	Geranylgeranyl pyrophosphate synthase 	1.0000	0.9990	3	4	4	4	3	0	1	3	0	1	3	0	1	8964930	     0	2294058	8964930	     0	2294058	8964930	     0	2294058		
sp|O95757|HS74L_HUMAN	O95757	HS74L_HUMAN	HSPA4L	839	57.40	Homo sapiens OX=9606	1:Experimental evidence at protein level	Heat shock 70 kDa protein 4L 	1.0000	0.9990	41	62	62	82	32	20	10	32	20	10	38	31	13	47738643	28389032	19805817	47738643	28389032	19805817	49773943	33214327	30160629		
sp|O95777|LSM8_HUMAN	O95777	LSM8_HUMAN	LSM8	96	79.20	Homo sapiens OX=9606	1:Experimental evidence at protein level	U6 snRNA-associated Sm-like protein LSm8 	1.0000	0.9990	7	18	18	18	7	8	3	7	8	3	7	8	3	66545214	49125216	13532811	66545214	49125216	13532811	66545214	49125216	13532811		
sp|O95782|AP2A1_HUMAN	O95782	AP2A1_HUMAN	AP2A1	977	56.10	Homo sapiens OX=9606	1:Experimental evidence at protein level	AP-2 complex subunit alpha-1 	1.0000	0.9990	50	166	124	166	61	68	37	46	51	27	61	68	37	89299310	84583884	38782835	66372372	67447782	38782835	89299310	84583884	38782835		
sp|O95786|DDX58_HUMAN	O95786	DDX58_HUMAN	DDX58	925	3.50	Homo sapiens OX=9606	1:Experimental evidence at protein level	Antiviral innate immune response receptor RIG-I 	1.0000	0.9990	4	4	4	4	1	0	3	1	0	3	1	0	3	1883072	     0	10706326	1883072	     0	10706326	1883072	     0	10706326		
sp|O95793|STAU1_HUMAN	O95793	STAU1_HUMAN	STAU1	577	23.20	Homo sapiens OX=9606	1:Experimental evidence at protein level	Double-stranded RNA-binding protein Staufen homolog 1 	1.0000	0.9990	11	20	15	20	10	4	6	8	2	5	10	4	6	14965300	22741770	13031935	6754651	3655712	9900254	14965300	22741770	13031935		
sp|O95810|CAVN2_HUMAN	O95810	CAVN2_HUMAN	CAVIN2	425	22.60	Homo sapiens OX=9606	1:Experimental evidence at protein level	Caveolae-associated protein 2 	1.0000	0.9990	9	16	16	16	10	2	4	10	2	4	10	2	4	14554686	3548152	5207772	14554686	3548152	5207772	14554686	3548152	5207772		
sp|O95816|BAG2_HUMAN	O95816	BAG2_HUMAN	BAG2	211	19.40	Homo sapiens OX=9606	1:Experimental evidence at protein level	BAG family molecular chaperone regulator 2 	1.0000	0.9990	4	5	5	7	3	1	1	3	1	1	4	1	2	7747095	1461100	1031810	7747095	1461100	1031810	8921466	1461100	2396225		
sp|O95817|BAG3_HUMAN	O95817	BAG3_HUMAN	BAG3	575	61.70	Homo sapiens OX=9606	1:Experimental evidence at protein level	BAG family molecular chaperone regulator 3 	1.0000	0.9990	26	67	67	67	23	20	24	23	20	24	23	20	24	41182273	43568057	111188270	41182273	43568057	111188270	41182273	43568057	111188270		
sp|O95825|QORL1_HUMAN	O95825	QORL1_HUMAN	CRYZL1	349	19.50	Homo sapiens OX=9606	1:Experimental evidence at protein level	Quinone oxidoreductase-like protein 1 	1.0000	0.9990	4	7	7	7	5	1	1	5	1	1	5	1	1	8915898	392060	1059055	8915898	392060	1059055	8915898	392060	1059055		
sp|O95831|AIFM1_HUMAN	O95831	AIFM1_HUMAN	AIFM1	613	24.60	Homo sapiens OX=9606	1:Experimental evidence at protein level	Apoptosis-inducing factor 1, mitochondrial 	1.0000	0.9990	14	48	48	48	17	20	11	17	20	11	17	20	11	36416736	20286860	11409766	36416736	20286860	11409766	36416736	20286860	11409766		
sp|O95834|EMAL2_HUMAN	O95834	EMAL2_HUMAN	EML2	649	11.40	Homo sapiens OX=9606	1:Experimental evidence at protein level	Echinoderm microtubule-associated protein-like 2 	1.0000	0.9990	6	15	15	15	6	5	4	6	5	4	6	5	4	16384523	9348856	11798714	16384523	9348856	11798714	16384523	9348856	11798714		
sp|O95847|UCP4_HUMAN	O95847	UCP4_HUMAN	SLC25A27	323	9.90	Homo sapiens OX=9606	2:Experimental evidence at transcript level	Mitochondrial uncoupling protein 4 	1.0000	0.9990	3	3	3	3	0	3	0	0	3	0	0	3	0	     0	4717611	     0	     0	4717611	     0	     0	4717611	     0		
sp|O95858|TSN15_HUMAN	O95858	TSN15_HUMAN	TSPAN15	294	7.10	Homo sapiens OX=9606	1:Experimental evidence at protein level	Tetraspanin-15 	1.0000	0.9990	2	3	3	3	3	0	0	3	0	0	3	0	0	4293304	     0	     0	4293304	     0	     0	4293304	     0	     0		
sp|O95861|BPNT1_HUMAN	O95861	BPNT1_HUMAN	BPNT1	308	47.10	Homo sapiens OX=9606	1:Experimental evidence at protein level	3'(2'),5'-bisphosphate nucleotidase 1 	1.0000	0.9990	12	21	21	21	14	4	3	14	4	3	14	4	3	30482970	24887618	11508352	30482970	24887618	11508352	30482970	24887618	11508352		
sp|O95865|DDAH2_HUMAN	O95865	DDAH2_HUMAN	DDAH2	285	50.90	Homo sapiens OX=9606	1:Experimental evidence at protein level	N(G),N(G)-dimethylarginine dimethylaminohydrolase 2 	1.0000	0.9990	13	64	64	71	19	21	24	19	21	24	21	24	26	103475038	80713788	31879060	103475038	80713788	31879060	148610078	119527734	55275628		
sp|O95881|TXD12_HUMAN	O95881	TXD12_HUMAN	TXNDC12	172	52.90	Homo sapiens OX=9606	1:Experimental evidence at protein level	Thioredoxin domain-containing protein 12 	1.0000	0.9990	10	25	25	25	9	5	11	9	5	11	9	5	11	48671704	37206890	62415934	48671704	37206890	62415934	48671704	37206890	62415934		
sp|O95970|LGI1_HUMAN	O95970	LGI1_HUMAN	LGI1	557	16.20	Homo sapiens OX=9606	1:Experimental evidence at protein level	Leucine-rich glioma-inactivated protein 1 	1.0000	0.9990	9	12	12	12	7	4	1	7	4	1	7	4	1	6041717	10526680	2299526	6041717	10526680	2299526	6041717	10526680	2299526		
sp|O95983|MBD3_HUMAN	O95983	MBD3_HUMAN	MBD3	291	21.30	Homo sapiens OX=9606	1:Experimental evidence at protein level	Methyl-CpG-binding domain protein 3 	1.0000	0.9990	6	11	10	11	7	2	2	6	2	2	7	2	2	12118630	2725921	6716816	11087684	2725921	6716816	12118630	2725921	6716816		
sp|O95989|NUDT3_HUMAN	O95989	NUDT3_HUMAN	NUDT3	172	31.40	Homo sapiens OX=9606	1:Experimental evidence at protein level	Diphosphoinositol polyphosphate phosphohydrolase 1 	1.0000	0.9990	5	7	7	8	3	2	2	3	2	2	4	2	2	14746566	2665674	10996668	14746566	2665674	10996668	23258711	2665674	10996668		
sp|O96000|NDUBA_HUMAN	O96000	NDUBA_HUMAN	NDUFB10	172	43.00	Homo sapiens OX=9606	1:Experimental evidence at protein level	NADH dehydrogenase [ubiquinone] 1 beta subcomplex subunit 10 	1.0000	0.9990	7	26	26	26	9	12	5	9	12	5	9	12	5	29969780	35978033	14277842	29969780	35978033	14277842	29969780	35978033	14277842		
sp|O96005|CLPT1_HUMAN	O96005	CLPT1_HUMAN	CLPTM1	669	28.10	Homo sapiens OX=9606	1:Experimental evidence at protein level	Cleft lip and palate transmembrane protein 1 	1.0000	0.9990	14	38	38	38	11	13	14	11	13	14	11	13	14	15578214	15429491	23627646	15578214	15429491	23627646	15578214	15429491	23627646		
sp|O96007|MOC2B_HUMAN	O96007	MOC2B_HUMAN	MOCS2	188	46.30	Homo sapiens OX=9606	1:Experimental evidence at protein level	Molybdopterin synthase catalytic subunit 	1.0000	0.9990	6	9	9	9	5	3	1	5	3	1	5	3	1	5306960	1362810	574818	5306960	1362810	574818	5306960	1362810	574818		
sp|O96008|TOM40_HUMAN	O96008	TOM40_HUMAN	TOMM40	361	30.20	Homo sapiens OX=9606	1:Experimental evidence at protein level	Mitochondrial import receptor subunit TOM40 homolog 	1.0000	0.9990	8	17	17	17	11	3	3	11	3	3	11	3	3	16569224	5650444	6752538	16569224	5650444	6752538	16569224	5650444	6752538		
sp|O96011|PX11B_HUMAN	O96011	PX11B_HUMAN	PEX11B	259	12.40	Homo sapiens OX=9606	1:Experimental evidence at protein level	Peroxisomal membrane protein 11B 	1.0000	0.9990	3	5	5	5	3	1	1	3	1	1	3	1	1	12994780	3394908	2649438	12994780	3394908	2649438	12994780	3394908	2649438		
sp|O96019|ACL6A_HUMAN	O96019	ACL6A_HUMAN	ACTL6A	429	34.00	Homo sapiens OX=9606	1:Experimental evidence at protein level	Actin-like protein 6A 	1.0000	0.9990	10	19	14	19	10	6	3	9	3	2	10	6	3	17983364	10538992	7646930	13910231	3609950	4230546	17983364	10538992	7646930		
sp|P00167|CYB5_HUMAN	P00167	CYB5_HUMAN	CYB5A	134	33.60	Homo sapiens	1:Experimental evidence at protein level	Cytochrome b5 	1.0000	0.9990	4	9	9	9	5	1	3	5	1	3	5	1	3	50453360	2003228	48642208	50453360	2003228	48642208	50453360	2003228	48642208		
sp|P00387|NB5R3_HUMAN	P00387	NB5R3_HUMAN	CYB5R3	301	65.40	Homo sapiens OX=9606	1:Experimental evidence at protein level	NADH-cytochrome b5 reductase 3 	1.0000	0.9990	22	114	114	114	29	39	46	29	39	46	29	39	46	192849554	69141084	131951376	192849554	69141084	131951376	192849554	69141084	131951376		
sp|P00390|GSHR_HUMAN	P00390	GSHR_HUMAN	GSR	522	36.00	Homo sapiens OX=9606	1:Experimental evidence at protein level	Glutathione reductase, mitochondrial 	1.0000	0.9990	12	33	33	33	13	12	8	13	12	8	13	12	8	93696970	26555539	24724137	93696970	26555539	24724137	93696970	26555539	24724137		
sp|P00403|COX2_HUMAN	P00403	COX2_HUMAN	MT-CO2	227	41.00	Homo sapiens OX=9606	1:Experimental evidence at protein level	Cytochrome c oxidase subunit 2 	1.0000	0.9990	11	43	43	43	12	17	14	12	17	14	12	17	14	248029068	370695624	155987480	248029068	370695624	155987480	248029068	370695624	155987480		
sp|P00441|SODC_HUMAN	P00441	SODC_HUMAN	SOD1	154	97.40	Homo sapiens	1:Experimental evidence at protein level	Superoxide dismutase [Cu-Zn] 	1.0000	0.9990	26	187	187	187	53	69	65	53	69	65	53	69	65	1921959232	1583898992	1860647200	1921959232	1583898992	1860647200	1921959232	1583898992	1860647200		
sp|P00450|CERU_HUMAN	P00450	CERU_HUMAN	CP	1065	62.10	Homo sapiens OX=9606	1:Experimental evidence at protein level	Ceruloplasmin 	1.0000	0.9990	83	334	334	334	122	102	110	122	102	110	122	102	110	379357736	150783148	178464568	379357736	150783148	178464568	379357736	150783148	178464568		
sp|P00488|F13A_HUMAN	P00488	F13A_HUMAN	F13A1	732	39.10	Homo sapiens OX=9606	1:Experimental evidence at protein level	Coagulation factor XIII A chain 	1.0000	0.9990	30	109	108	109	37	24	48	36	24	48	37	24	48	125434830	50441632	161114408	124118900	50441632	161114408	125434830	50441632	161114408		
sp|P00491|PNPH_HUMAN	P00491	PNPH_HUMAN	PNP	289	67.50	Homo sapiens OX=9606	1:Experimental evidence at protein level	Purine nucleoside phosphorylase 	1.0000	0.9990	15	39	39	39	17	12	10	17	12	10	17	12	10	64278001	14510789	12297214	64278001	14510789	12297214	64278001	14510789	12297214		
sp|P00492|HPRT_HUMAN	P00492	HPRT_HUMAN	HPRT1	218	66.10	Homo sapiens OX=9606	1:Experimental evidence at protein level	Hypoxanthine-guanine phosphoribosyltransferase 	1.0000	0.9990	12	58	53	58	15	26	17	15	23	15	15	26	17	64009427	45802141	30616100	64009427	36760192	18459425	64009427	45802141	30616100		
sp|P00505|AATM_HUMAN	P00505	AATM_HUMAN	GOT2	430	59.30	Homo sapiens OX=9606	1:Experimental evidence at protein level	Aspartate aminotransferase, mitochondrial 	1.0000	0.9990	30	142	142	142	35	83	24	35	83	24	35	83	24	185169848	366915208	130107386	185169848	366915208	130107386	185169848	366915208	130107386		
sp|P00558|PGK1_HUMAN	P00558	PGK1_HUMAN	PGK1	417	78.90	Homo sapiens OX=9606	1:Experimental evidence at protein level	Phosphoglycerate kinase 1 	1.0000	0.9990	55	483	411	483	98	175	210	86	146	179	98	175	210	1848548160	935778512	1093413008	1848548160	935778512	982098160	1848548160	935778512	1093413008		
sp|P00568|KAD1_HUMAN	P00568	KAD1_HUMAN	AK1	194	69.60	Homo sapiens OX=9606	1:Experimental evidence at protein level	Adenylate kinase isoenzyme 1 	1.0000	0.9990	15	81	70	81	20	30	31	17	27	26	20	30	31	128204012	104575050	64794950	128204012	98172262	46709998	128204012	104575050	64794950		
sp|P00734|THRB_HUMAN	P00734	THRB_HUMAN	F2	622	57.20	Homo sapiens OX=9606	1:Experimental evidence at protein level	Prothrombin 	1.0000	0.9990	42	100	100	100	71	16	13	71	16	13	71	16	13	198597244	44430611	70540749	198597244	44430611	70540749	198597244	44430611	70540749		
sp|P00736|C1R_HUMAN	P00736	C1R_HUMAN	C1R	705	39.90	Homo sapiens OX=9606	1:Experimental evidence at protein level	Complement C1r subcomponent 	1.0000	0.9990	19	34	30	34	23	5	6	22	4	4	23	5	6	46270716	21892898	32864059	31651862	13251663	12758535	46270716	21892898	32864059		
sp|P00738|HPT_HUMAN	P00738	HPT_HUMAN	HP	406	69.50	Homo sapiens OX=9606	1:Experimental evidence at protein level	Haptoglobin 	1.0000	0.9990	52	448	251	448	146	161	141	85	86	80	146	161	141	2902623936	1408238176	2259595904	1355685216	1000592064	890866352	2902623936	1408238176	2259595904		
sp|P00739|HPTR_HUMAN	P00739	HPTR_HUMAN	HPR	348	46.00	Homo sapiens OX=9606	2:Experimental evidence at transcript level	Haptoglobin-related protein 	1.0000	0.9990	29	15	15	212	4	6	5	4	6	5	65	81	66	5392193	14955377	9455550	5392193	14955377	9455550	2902623936	1029139776	2111109376		
sp|P00742|FA10_HUMAN	P00742	FA10_HUMAN	F10	488	8.20	Homo sapiens OX=9606	1:Experimental evidence at protein level	Coagulation factor X 	1.0000	0.9990	3	4	4	4	3	1	0	3	1	0	3	1	0	7514750	1487489	     0	7514750	1487489	     0	7514750	1487489	     0		
sp|P00746|CFAD_HUMAN	P00746	CFAD_HUMAN	CFD	253	11.10	Homo sapiens OX=9606	1:Experimental evidence at protein level	Complement factor D 	1.0000	0.9990	3	5	5	5	3	1	1	3	1	1	3	1	1	3551466	352729	936011	3551466	352729	936011	3551466	352729	936011		
sp|P00748|FA12_HUMAN	P00748	FA12_HUMAN	F12	615	32.50	Homo sapiens OX=9606	1:Experimental evidence at protein level	Coagulation factor XII 	1.0000	0.9990	14	18	18	18	14	2	2	14	2	2	14	2	2	29035198	5417396	21636129	29035198	5417396	21636129	29035198	5417396	21636129		
sp|P00751|CFAB_HUMAN	P00751	CFAB_HUMAN	CFB	764	48.70	Homo sapiens OX=9606	1:Experimental evidence at protein level	Complement factor B 	1.0000	0.9990	39	141	141	141	57	41	43	57	41	43	57	41	43	150651672	80299272	109120484	150651672	80299272	109120484	150651672	80299272	109120484		
sp|P00813|ADA_HUMAN	P00813	ADA_HUMAN	ADA	363	24.00	Homo sapiens OX=9606	1:Experimental evidence at protein level	Adenosine deaminase 	1.0000	0.9990	8	16	16	16	6	5	5	6	5	5	6	5	5	11382207	9146622	14689177	11382207	9146622	14689177	11382207	9146622	14689177		
sp|P00915|CAH1_HUMAN	P00915	CAH1_HUMAN	CA1	261	73.20	Homo sapiens	1:Experimental evidence at protein level	Carbonic anhydrase 1 	1.0000	0.9990	34	436	436	436	94	177	165	94	177	165	94	177	165	1499658256	1828368288	1545535456	1499658256	1828368288	1545535456	1499658256	1828368288	1545535456		
sp|P00966|ASSY_HUMAN	P00966	ASSY_HUMAN	ASS1	412	37.40	Homo sapiens OX=9606	1:Experimental evidence at protein level	Argininosuccinate synthase 	1.0000	0.9990	14	30	30	30	12	10	8	12	10	8	12	10	8	22115633	25658302	8567903	22115633	25658302	8567903	22115633	25658302	8567903		
sp|P01008|ANT3_HUMAN	P01008	ANT3_HUMAN	SERPINC1	464	54.30	Homo sapiens	1:Experimental evidence at protein level	Antithrombin-III 	1.0000	0.9990	29	152	152	152	49	41	62	49	41	62	49	41	62	225011348	125662980	305358852	225011348	125662980	305358852	225011348	125662980	305358852		
sp|P01011|AACT_HUMAN	P01011	AACT_HUMAN	SERPINA3	423	54.40	Homo sapiens OX=9606	1:Experimental evidence at protein level	Alpha-1-antichymotrypsin 	1.0000	0.9990	35	193	193	193	55	59	79	55	59	79	55	59	79	612169200	131133140	217246048	612169200	131133140	217246048	612169200	131133140	217246048		
sp|P01019|ANGT_HUMAN	P01019	ANGT_HUMAN	AGT	485	24.30	Homo sapiens OX=9606	1:Experimental evidence at protein level	Angiotensinogen 	1.0000	0.9990	12	69	69	69	20	23	26	20	23	26	20	23	26	72830008	75290356	132220354	72830008	75290356	132220354	72830008	75290356	132220354		
sp|P01023|A2MG_HUMAN	P01023	A2MG_HUMAN	A2M	1474	66.40	Homo sapiens OX=9606	1:Experimental evidence at protein level	Alpha-2-macroglobulin 	1.0000	0.9990	104	728	618	728	231	269	228	184	232	202	231	269	228	767017760	480599328	446309016	657918528	469942672	406472376	767017760	480599328	446309016		
sp|P01033|TIMP1_HUMAN	P01033	TIMP1_HUMAN	TIMP1	207	54.10	Homo sapiens OX=9606	1:Experimental evidence at protein level	Metalloproteinase inhibitor 1 	1.0000	0.9990	8	17	17	17	11	2	4	11	2	4	11	2	4	24839495	4161778	19980888	24839495	4161778	19980888	24839495	4161778	19980888		
sp|P01034|CYTC_HUMAN	P01034	CYTC_HUMAN	CST3	146	56.80	Homo sapiens OX=9606	1:Experimental evidence at protein level	Cystatin-C 	1.0000	0.9990	10	37	37	37	12	14	11	12	14	11	12	14	11	85102736	99038368	57827985	85102736	99038368	57827985	85102736	99038368	57827985		
sp|P01042|KNG1_HUMAN	P01042	KNG1_HUMAN	KNG1	644	53.10	Homo sapiens OX=9606	1:Experimental evidence at protein level	Kininogen-1 	1.0000	0.9990	39	155	155	155	66	45	44	66	45	44	66	45	44	322603992	168204608	219763992	322603992	168204608	219763992	322603992	168204608	219763992		
sp|P01111|RASN_HUMAN	P01111	RASN_HUMAN	NRAS	189	51.90	Homo sapiens OX=9606	1:Experimental evidence at protein level	GTPase NRas 	1.0000	0.9990	11	2	2	41	2	0	0	2	0	0	14	15	12	7404470	     0	     0	7404470	     0	     0	49419866	48866772	33569999		
sp|P01112|RASH_HUMAN	P01112	RASH_HUMAN	HRAS	189	56.60	Homo sapiens	1:Experimental evidence at protein level	GTPase HRas 	1.0000	0.9990	12	29	7	42	11	12	6	1	4	2	14	17	11	64266902	69246062	12729717	3364225	7341555	4322120	71575482	73589746	33569999		
sp|P01116|RASK_HUMAN	P01116	RASK_HUMAN	KRAS	189	50.30	Homo sapiens OX=9606	1:Experimental evidence at protein level	GTPase KRas 	1.0000	0.9990	10	17	6	45	5	9	3	3	3	0	15	20	10	23687768	20799744	8770833	23687768	17885050	     0	71575482	73589746	33569999		
sp|P01213|PDYN_HUMAN	P01213	PDYN_HUMAN	PDYN	254	13.40	Homo sapiens OX=9606	1:Experimental evidence at protein level	Proenkephalin-B 	1.0000	0.9990	4	10	10	10	2	7	1	2	7	1	2	7	1	6462052	17801492	1132348	6462052	17801492	1132348	6462052	17801492	1132348		
sp|P01303|NPY_HUMAN	P01303	NPY_HUMAN	NPY	97	41.20	Homo sapiens OX=9606	1:Experimental evidence at protein level	Pro-neuropeptide Y 	1.0000	0.9990	4	11	11	11	3	7	1	3	7	1	3	7	1	4116469	13380552	1365509	4116469	13380552	1365509	4116469	13380552	1365509		
sp|P01591|IGJ_HUMAN	P01591	IGJ_HUMAN	JCHAIN	159	56.60	Homo sapiens OX=9606	1:Experimental evidence at protein level	Immunoglobulin J chain 	1.0000	0.9990	7	17	17	17	8	6	3	8	6	3	8	6	3	40284218	52105035	2314531	40284218	52105035	2314531	40284218	52105035	2314531		
sp|P01834|IGKC_HUMAN	P01834	IGKC_HUMAN	IGKC	107	87.90	Homo sapiens OX=9606	1:Experimental evidence at protein level	Immunoglobulin kappa constant 	1.0000	0.9990	35	616	616	616	180	234	202	180	234	202	180	234	202	3472978816	460646664	326959632	3472978816	460646664	326959632	3472978816	460646664	326959632		
sp|P01857|IGHG1_HUMAN	P01857	IGHG1_HUMAN	IGHG1	330	83.30	Homo sapiens OX=9606	1:Experimental evidence at protein level	Immunoglobulin heavy constant gamma 1 	1.0000	0.9990	78	848	336	848	247	274	327	96	99	141	247	274	327	4446894208	1335996704	4034231264	1809638176	522058112	446419912	4446894208	1335996704	4034231264		
sp|P01859|IGHG2_HUMAN	P01859	IGHG2_HUMAN	IGHG2	326	89.30	Homo sapiens OX=9606	1:Experimental evidence at protein level	Immunoglobulin heavy constant gamma 2 	1.0000	0.9990	63	415	177	633	142	134	139	70	52	55	203	212	218	2894108672	1361052216	1994824680	1764554504	989873414	1833777600	3876660416	2176140640	3485841200		
sp|P01860|IGHG3_HUMAN	P01860	IGHG3_HUMAN	IGHG3	377	74.00	Homo sapiens OX=9606	1:Experimental evidence at protein level	Immunoglobulin heavy constant gamma 3 	1.0000	0.9990	55	64	64	534	9	28	27	9	28	27	143	188	203	163321276	78244574	50129300	163321276	78244574	50129300	4435318656	1353773752	3975491632		
sp|P01861|IGHG4_HUMAN	P01861	IGHG4_HUMAN	IGHG4	327	79.80	Homo sapiens OX=9606	1:Experimental evidence at protein level	Immunoglobulin heavy constant gamma 4 	1.0000	0.9990	57	72	72	525	32	16	24	32	16	24	164	179	182	186456025	45811806	81403837	186456025	45811806	81403837	2846321728	1121911560	1798000232		
