Protein	Protein ID	Entry Name	Gene	Protein Length	Coverage	Organism	Protein Existence	Description	Protein Probability	Top Peptide Probability	Combined Total Peptides	Combined Spectral Count	Combined Unique Spectral Count	Combined Total Spectral Count	mix_1 Spectral Count	mix_2 Spectral Count	mix_3 Spectral Count	mix_1 Unique Spectral Count	mix_2 Unique Spectral Count	mix_3 Unique Spectral Count	mix_1 Total Spectral Count	mix_2 Total Spectral Count	mix_3 Total Spectral Count	mix_1 Intensity	mix_2 Intensity	mix_3 Intensity	mix_1 Unique Intensity	mix_2 Unique Intensity	mix_3 Unique Intensity	mix_1 Total Intensity	mix_2 Total Intensity	mix_3 Total Intensity	Indistinguishable Proteins
sp|P08397|HEM3_HUMAN	P08397	HEM3_HUMAN	HMBS	361	24.70	Homo sapiens OX=9606	1:Experimental evidence at protein level	Porphobilinogen deaminase 	1.0000	0.9990	8	11	11	11	8	1	2	8	1	2	8	1	2	20506776	8769972	8438229	20506776	8769972	8438229	20506776	8769972	8438229		
sp|P08514|ITA2B_HUMAN	P08514	ITA2B_HUMAN	ITGA2B	1039	16.60	Homo sapiens OX=9606	1:Experimental evidence at protein level	Integrin alpha-IIb 	1.0000	0.9990	13	18	18	18	14	1	3	14	1	3	14	1	3	44575195	9267977	9290615	44575195	9267977	9290615	44575195	9267977	9290615		
sp|P08519|APOA_HUMAN	P08519	APOA_HUMAN	LPA	4548	19.00	Homo sapiens OX=9606	1:Experimental evidence at protein level	Apolipoprotein(a) 	1.0000	0.9990	3	5	5	5	5	0	0	5	0	0	5	0	0	4539263	     0	     0	4539263	     0	     0	4539263	     0	     0		
sp|P08567|PLEK_HUMAN	P08567	PLEK_HUMAN	PLEK	350	13.10	Homo sapiens OX=9606	1:Experimental evidence at protein level	Pleckstrin 	1.0000	0.9990	3	7	7	7	3	3	1	3	3	1	3	3	1	11428061	7785845	5523094	11428061	7785845	5523094	11428061	7785845	5523094		
sp|P08571|CD14_HUMAN	P08571	CD14_HUMAN	CD14	375	29.30	Homo sapiens OX=9606	1:Experimental evidence at protein level	Monocyte differentiation antigen CD14 	1.0000	0.9990	9	42	42	42	13	12	17	13	12	17	13	12	17	83376994	9773988	39162946	83376994	9773988	39162946	83376994	9773988	39162946		
sp|P08572|CO4A2_HUMAN	P08572	CO4A2_HUMAN	COL4A2	1712	6.40	Homo sapiens OX=9606	1:Experimental evidence at protein level	Collagen alpha-2(IV) chain 	1.0000	0.9990	8	18	18	18	7	4	7	7	4	7	7	4	7	37786936	15652521	31803656	37786936	15652521	31803656	37786936	15652521	31803656		
sp|P08574|CY1_HUMAN	P08574	CY1_HUMAN	CYC1	325	27.10	Homo sapiens OX=9606	1:Experimental evidence at protein level	Cytochrome c1, heme protein, mitochondrial 	1.0000	0.9990	6	30	30	30	14	12	4	14	12	4	14	12	4	54159792	12225118	4415277	54159792	12225118	4415277	54159792	12225118	4415277		
sp|P08575|PTPRC_HUMAN	P08575	PTPRC_HUMAN	PTPRC	1306	19.10	Homo sapiens OX=9606	1:Experimental evidence at protein level	Receptor-type tyrosine-protein phosphatase C 	1.0000	0.9990	21	35	35	35	22	2	11	22	2	11	22	2	11	30964975	1012274	8227490	30964975	1012274	8227490	30964975	1012274	8227490		
sp|P08579|RU2B_HUMAN	P08579	RU2B_HUMAN	SNRPB2	225	32.40	Homo sapiens OX=9606	1:Experimental evidence at protein level	U2 small nuclear ribonucleoprotein B'' 	1.0000	0.9990	7	9	9	17	6	1	2	6	1	2	10	4	3	25864256	5912912	18874358	25864256	5912912	18874358	34058658	30038235	48728370		
sp|P08603|CFAH_HUMAN	P08603	CFAH_HUMAN	CFH	1231	59.40	Homo sapiens OX=9606	1:Experimental evidence at protein level	Complement factor H 	1.0000	0.9990	60	154	140	154	99	24	31	90	22	28	99	24	31	178773708	59639550	88378408	178773708	59639550	82480837	178773708	59639550	88378408		
sp|P08621|RU17_HUMAN	P08621	RU17_HUMAN	SNRNP70	437	26.80	Homo sapiens OX=9606	1:Experimental evidence at protein level	U1 small nuclear ribonucleoprotein 70 kDa 	1.0000	0.9990	14	34	34	34	11	7	16	11	7	16	11	7	16	32396162	9913789	60757031	32396162	9913789	60757031	32396162	9913789	60757031		
sp|P08631|HCK_HUMAN	P08631	HCK_HUMAN	HCK	526	10.60	Homo sapiens OX=9606	1:Experimental evidence at protein level	Tyrosine-protein kinase HCK 	1.0000	0.9990	6	3	3	11	3	0	0	3	0	0	5	2	4	2896351	     0	     0	2896351	     0	     0	16046128	7516999	6416210		
sp|P08648|ITA5_HUMAN	P08648	ITA5_HUMAN	ITGA5	1049	11.20	Homo sapiens OX=9606	1:Experimental evidence at protein level	Integrin alpha-5 	1.0000	0.9990	10	17	17	17	7	4	6	7	4	6	7	4	6	12227372	8286732	8123698	12227372	8286732	8123698	12227372	8286732	8123698		
sp|P08651|NFIC_HUMAN	P08651	NFIC_HUMAN	NFIC	508	4.70	Homo sapiens OX=9606	1:Experimental evidence at protein level	Nuclear factor 1 C-type 	1.0000	0.9990	3	3	3	6	3	0	0	3	0	0	5	0	1	6433875	     0	     0	6433875	     0	     0	12940002	     0	4270314		
sp|P08697|A2AP_HUMAN	P08697	A2AP_HUMAN	SERPINF2	491	34.00	Homo sapiens OX=9606	1:Experimental evidence at protein level	Alpha-2-antiplasmin 	1.0000	0.9990	16	42	42	42	19	9	14	19	9	14	19	9	14	231557184	15960758	16272276	231557184	15960758	16272276	231557184	15960758	16272276		
sp|P08708|RS17_HUMAN	P08708	RS17_HUMAN	RPS17	135	57.00	Homo sapiens OX=9606	1:Experimental evidence at protein level	40S ribosomal protein S17 	1.0000	0.9990	8	33	33	33	12	12	9	12	12	9	12	12	9	130670490	7649095	9216606	130670490	7649095	9216606	130670490	7649095	9216606		
sp|P08758|ANXA5_HUMAN	P08758	ANXA5_HUMAN	ANXA5	320	80.30	Homo sapiens	1:Experimental evidence at protein level	Annexin A5 	1.0000	0.9990	31	366	366	366	74	106	186	74	106	186	74	106	186	1849054016	763254016	1252098752	1849054016	763254016	1252098752	1849054016	763254016	1252098752		
sp|P08865|RSSA_HUMAN	P08865	RSSA_HUMAN	RPSA	295	45.80	Homo sapiens OX=9606	1:Experimental evidence at protein level	40S ribosomal protein SA 	1.0000	0.9990	12	37	37	37	14	13	10	14	13	10	14	13	10	93426655	47915954	123455128	93426655	47915954	123455128	93426655	47915954	123455128		
sp|P08962|CD63_HUMAN	P08962	CD63_HUMAN	CD63	238	20.60	Homo sapiens OX=9606	1:Experimental evidence at protein level	CD63 antigen 	1.0000	0.9990	5	13	13	13	4	2	7	4	2	7	4	2	7	43055255	15150756	34707625	43055255	15150756	34707625	43055255	15150756	34707625		
sp|P09012|SNRPA_HUMAN	P09012	SNRPA_HUMAN	SNRPA	282	28.00	Homo sapiens OX=9606	1:Experimental evidence at protein level	U1 small nuclear ribonucleoprotein A 	1.0000	0.9990	8	23	15	23	9	7	7	5	4	6	9	7	7	75709999	35549850	60112514	73225124	14991903	35555034	75709999	35549850	60112514		
sp|P09104|ENOG_HUMAN	P09104	ENOG_HUMAN	ENO2	434	74.00	Homo sapiens OX=9606	1:Experimental evidence at protein level	Gamma-enolase 	1.0000	0.9990	21	234	232	318	50	118	66	49	117	66	89	143	86	559340256	715418832	192957152	559340256	715418832	192957152	696931840	715418832	230046004		
sp|P09110|THIK_HUMAN	P09110	THIK_HUMAN	ACAA1	424	38.20	Homo sapiens OX=9606	1:Experimental evidence at protein level	3-ketoacyl-CoA thiolase, peroxisomal 	1.0000	0.9990	10	24	24	24	11	8	5	11	8	5	11	8	5	34301400	8406791	4290384	34301400	8406791	4290384	34301400	8406791	4290384		
sp|P09132|SRP19_HUMAN	P09132	SRP19_HUMAN	SRP19	144	47.20	Homo sapiens OX=9606	1:Experimental evidence at protein level	Signal recognition particle 19 kDa protein 	1.0000	0.9990	5	10	10	10	4	2	4	4	2	4	4	2	4	10669190	2026804	4865596	10669190	2026804	4865596	10669190	2026804	4865596		
sp|P09211|GSTP1_HUMAN	P09211	GSTP1_HUMAN	GSTP1	210	69.50	Homo sapiens	1:Experimental evidence at protein level	Glutathione S-transferase P 	1.0000	0.9990	13	107	107	107	35	33	39	35	33	39	35	33	39	250197836	45866335	200034325	250197836	45866335	200034325	250197836	45866335	200034325		
sp|P09234|RU1C_HUMAN	P09234	RU1C_HUMAN	SNRPC	159	18.90	Homo sapiens OX=9606	1:Experimental evidence at protein level	U1 small nuclear ribonucleoprotein C 	1.0000	0.9990	3	7	7	7	3	2	2	3	2	2	3	2	2	9822260	6441751	2715536	9822260	6441751	2715536	9822260	6441751	2715536		
sp|P09382|LEG1_HUMAN	P09382	LEG1_HUMAN	LGALS1	135	61.50	Homo sapiens OX=9606	1:Experimental evidence at protein level	Galectin-1 	1.0000	0.9990	11	210	210	210	59	53	98	59	53	98	59	53	98	1649684736	1268919472	2438406592	1649684736	1268919472	2438406592	1649684736	1268919472	2438406592		
sp|P09417|DHPR_HUMAN	P09417	DHPR_HUMAN	QDPR	244	63.50	Homo sapiens OX=9606	1:Experimental evidence at protein level	Dihydropteridine reductase 	1.0000	0.9990	13	107	107	107	30	52	25	30	52	25	30	52	25	226557320	249199016	150531992	226557320	249199016	150531992	226557320	249199016	150531992		
sp|P09455|RET1_HUMAN	P09455	RET1_HUMAN	RBP1	135	61.50	Homo sapiens OX=9606	1:Experimental evidence at protein level	Retinol-binding protein 1 	1.0000	0.9990	10	31	31	31	10	8	13	10	8	13	10	8	13	39936972	38749140	34901014	39936972	38749140	34901014	39936972	38749140	34901014		
sp|P09467|F16P1_HUMAN	P09467	F16P1_HUMAN	FBP1	338	17.50	Homo sapiens OX=9606	1:Experimental evidence at protein level	Fructose-1,6-bisphosphatase 1 	1.0000	0.9990	5	13	13	13	6	3	4	6	3	4	6	3	4	34021826	3905662	8649878	34021826	3905662	8649878	34021826	3905662	8649878		
sp|P09486|SPRC_HUMAN	P09486	SPRC_HUMAN	SPARC	303	41.60	Homo sapiens OX=9606	1:Experimental evidence at protein level	SPARC 	1.0000	0.9990	11	21	21	21	14	4	3	14	4	3	14	4	3	92429986	42031586	86640962	92429986	42031586	86640962	92429986	42031586	86640962		
sp|P09488|GSTM1_HUMAN	P09488	GSTM1_HUMAN	GSTM1	218	59.20	Homo sapiens OX=9606	1:Experimental evidence at protein level	Glutathione S-transferase Mu 1 	1.0000	0.9990	18	7	7	71	5	1	1	5	1	1	23	23	25	32006108	6541054	6706262	32006108	6541054	6706262	88092654	138951490	60030928		
sp|P09493|TPM1_HUMAN	P09493	TPM1_HUMAN	TPM1	284	75.70	Homo sapiens OX=9606	1:Experimental evidence at protein level	Tropomyosin alpha-1 chain 	1.0000	0.9990	33	47	39	130	16	19	12	14	17	8	42	48	40	194621056	402243436	107077311	159199028	402243436	20679762	1137483952	1175315008	1498878640		
sp|P09496|CLCA_HUMAN	P09496	CLCA_HUMAN	CLTA	248	30.60	Homo sapiens OX=9606	1:Experimental evidence at protein level	Clathrin light chain A 	1.0000	0.9990	13	55	55	55	16	21	18	16	21	18	16	21	18	291809172	213434776	239556212	291809172	213434776	239556212	291809172	213434776	239556212		
sp|P09497|CLCB_HUMAN	P09497	CLCB_HUMAN	CLTB	229	41.00	Homo sapiens OX=9606	1:Experimental evidence at protein level	Clathrin light chain B 	1.0000	0.9990	12	47	47	47	15	20	12	15	20	12	15	20	12	136868184	168433724	105555188	136868184	168433724	105555188	136868184	168433724	105555188		
sp|P09525|ANXA4_HUMAN	P09525	ANXA4_HUMAN	ANXA4	319	55.50	Homo sapiens OX=9606	1:Experimental evidence at protein level	Annexin A4 	1.0000	0.9990	18	60	60	60	19	17	24	19	17	24	19	17	24	26271960	26612452	50008877	26271960	26612452	50008877	26271960	26612452	50008877		
sp|P09601|HMOX1_HUMAN	P09601	HMOX1_HUMAN	HMOX1	288	34.00	Homo sapiens OX=9606	1:Experimental evidence at protein level	Heme oxygenase 1 	1.0000	0.9990	7	17	17	17	10	2	5	10	2	5	10	2	5	12896095	3206638	8495939	12896095	3206638	8495939	12896095	3206638	8495939		
sp|P09622|DLDH_HUMAN	P09622	DLDH_HUMAN	DLD	509	37.70	Homo sapiens OX=9606	1:Experimental evidence at protein level	Dihydrolipoyl dehydrogenase, mitochondrial 	1.0000	0.9990	19	91	91	91	26	41	24	26	41	24	26	41	24	118653780	206823940	181089274	118653780	206823940	181089274	118653780	206823940	181089274		
sp|P09661|RU2A_HUMAN	P09661	RU2A_HUMAN	SNRPA1	255	52.50	Homo sapiens OX=9606	1:Experimental evidence at protein level	U2 small nuclear ribonucleoprotein A' 	1.0000	0.9990	13	18	18	18	12	2	4	12	2	4	12	2	4	86100778	6874690	22329677	86100778	6874690	22329677	86100778	6874690	22329677		
sp|P09668|CATH_HUMAN	P09668	CATH_HUMAN	CTSH	335	8.70	Homo sapiens OX=9606	1:Experimental evidence at protein level	Pro-cathepsin H 	1.0000	0.9990	2	3	3	3	2	0	1	2	0	1	2	0	1	3337354	     0	2010732	3337354	     0	2010732	3337354	     0	2010732		
sp|P09669|COX6C_HUMAN	P09669	COX6C_HUMAN	COX6C	75	50.70	Homo sapiens OX=9606	1:Experimental evidence at protein level	Cytochrome c oxidase subunit 6C 	1.0000	0.9990	8	29	29	29	11	11	7	11	11	7	11	11	7	119193028	270212692	144271937	119193028	270212692	144271937	119193028	270212692	144271937		
sp|P09871|C1S_HUMAN	P09871	C1S_HUMAN	C1S	688	36.20	Homo sapiens OX=9606	1:Experimental evidence at protein level	Complement C1s subcomponent 	1.0000	0.9990	17	20	20	20	15	3	2	15	3	2	15	3	2	52484027	12020266	17463654	52484027	12020266	17463654	52484027	12020266	17463654		
sp|P09874|PARP1_HUMAN	P09874	PARP1_HUMAN	PARP1	1014	50.70	Homo sapiens OX=9606	1:Experimental evidence at protein level	Poly [ADP-ribose] polymerase 1 	1.0000	0.9990	49	114	114	114	58	28	28	58	28	28	58	28	28	184149726	66523452	189972498	184149726	66523452	189972498	184149726	66523452	189972498		
sp|P09913|IFIT2_HUMAN	P09913	IFIT2_HUMAN	IFIT2	472	9.50	Homo sapiens OX=9606	1:Experimental evidence at protein level	Interferon-induced protein with tetratricopeptide repeats 2 	1.0000	0.9990	4	5	5	5	4	0	1	4	0	1	4	0	1	6894540	     0	843170	6894540	     0	843170	6894540	     0	843170		
sp|P09914|IFIT1_HUMAN	P09914	IFIT1_HUMAN	IFIT1	478	20.90	Homo sapiens OX=9606	1:Experimental evidence at protein level	Interferon-induced protein with tetratricopeptide repeats 1 	1.0000	0.9990	9	21	21	21	7	5	9	7	5	9	7	5	9	15728786	6466114	20561769	15728786	6466114	20561769	15728786	6466114	20561769		
sp|P09917|LOX5_HUMAN	P09917	LOX5_HUMAN	ALOX5	674	17.50	Homo sapiens OX=9606	1:Experimental evidence at protein level	Polyunsaturated fatty acid 5-lipoxygenase 	1.0000	0.9990	10	17	17	17	12	1	4	12	1	4	12	1	4	22467277	1917661	6965092	22467277	1917661	6965092	22467277	1917661	6965092		
sp|P09936|UCHL1_HUMAN	P09936	UCHL1_HUMAN	UCHL1	223	60.10	Homo sapiens OX=9606	1:Experimental evidence at protein level	Ubiquitin carboxyl-terminal hydrolase isozyme L1 	1.0000	0.9990	15	148	148	148	42	72	34	42	72	34	42	72	34	881776336	1561139520	635664096	881776336	1561139520	635664096	881776336	1561139520	635664096		
sp|P09960|LKHA4_HUMAN	P09960	LKHA4_HUMAN	LTA4H	611	46.30	Homo sapiens OX=9606	1:Experimental evidence at protein level	Leukotriene A-4 hydrolase 	1.0000	0.9990	26	82	82	82	32	32	18	32	32	18	32	32	18	119877840	70661076	62984352	119877840	70661076	62984352	119877840	70661076	62984352		
sp|P0C0L4|CO4A_HUMAN	P0C0L4	CO4A_HUMAN	C4A	1744	45.50	Homo sapiens OX=9606	1:Experimental evidence at protein level	Complement C4-A 	1.0000	0.9990	71	14	14	308	4	7	3	4	7	3	98	117	93	36230991	12317477	4406067	36230991	12317477	4406067	394773008	305868600	345348984		
sp|P0C0L5|CO4B_HUMAN	P0C0L5	CO4B_HUMAN	C4B_2	1744	45.50	Homo sapiens OX=9606	1:Experimental evidence at protein level	Complement C4-B 	1.0000	0.9990	71	310	16	310	100	118	92	6	8	2	100	118	92	394773008	305868600	345348984	24364300	33241117	18024117	394773008	305868600	345348984		
sp|P0C7M8|CLC2L_HUMAN	P0C7M8	CLC2L_HUMAN	CLEC2L	214	11.70	Homo sapiens OX=9606	3:Protein inferred from homology	C-type lectin domain family 2 member L 	1.0000	0.9990	3	3	3	3	2	1	0	2	1	0	2	1	0	2490600	2286102	     0	2490600	2286102	     0	2490600	2286102	     0		
sp|P0CG29|GST2_HUMAN	P0CG29	GST2_HUMAN	GSTT2	244	36.50	Homo sapiens OX=9606	1:Experimental evidence at protein level	Glutathione S-transferase theta-2 	1.0000	0.9990	8	18	0	18	9	4	5	0	0	0	9	4	5	49699696	19087276	23682694	     0	     0	     0	49699696	19087276	23682694	sp|P0CG30|GSTT2_HUMAN	
sp|P0DN76|U2AF5_HUMAN	P0DN76	U2AF5_HUMAN	U2AF1L5	240	30.00	Homo sapiens OX=9606	1:Experimental evidence at protein level	Splicing factor U2AF 35 kDa subunit-like protein 	1.0000	0.9990	5	5	0	5	5	0	0	0	0	0	5	0	0	45097205	     0	     0	     0	     0	     0	45097205	     0	     0	sp|Q01081|U2AF1_HUMAN	
sp|P0DN79|CBSL_HUMAN	P0DN79	CBSL_HUMAN	CBSL	551	13.60	Homo sapiens OX=9606	1:Experimental evidence at protein level	Cystathionine beta-synthase-like protein 	1.0000	0.9990	6	10	0	10	5	3	2	0	0	0	5	3	2	18193865	14351022	13198808	     0	     0	     0	18193865	14351022	13198808	sp|P35520|CBS_HUMAN	
sp|P10109|ADX_HUMAN	P10109	ADX_HUMAN	FDX1	184	24.50	Homo sapiens OX=9606	1:Experimental evidence at protein level	Adrenodoxin, mitochondrial 	1.0000	0.9989	4	4	4	4	3	1	0	3	1	0	3	1	0	20569769	2068846	     0	20569769	2068846	     0	20569769	2068846	     0		
sp|P10114|RAP2A_HUMAN	P10114	RAP2A_HUMAN	RAP2A	183	51.40	Homo sapiens OX=9606	1:Experimental evidence at protein level	Ras-related protein Rap-2a 	1.0000	0.9990	10	11	11	26	4	4	3	4	4	3	8	11	7	14351949	8114474	5088269	14351949	8114474	5088269	25071434	23804264	13712517		
sp|P10155|RO60_HUMAN	P10155	RO60_HUMAN	RO60	538	34.60	Homo sapiens OX=9606	1:Experimental evidence at protein level	60 kDa SS-A/Ro ribonucleoprotein 	1.0000	0.9990	19	51	51	51	21	12	18	21	12	18	21	12	18	153948306	44122059	73719112	153948306	44122059	73719112	153948306	44122059	73719112		
sp|P10253|LYAG_HUMAN	P10253	LYAG_HUMAN	GAA	952	16.40	Homo sapiens OX=9606	1:Experimental evidence at protein level	Lysosomal alpha-glucosidase 	1.0000	0.9990	13	41	41	41	16	11	14	16	11	14	16	11	14	26897664	13497203	24999093	26897664	13497203	24999093	26897664	13497203	24999093		
sp|P10301|RRAS_HUMAN	P10301	RRAS_HUMAN	RRAS	218	50.90	Homo sapiens OX=9606	1:Experimental evidence at protein level	Ras-related protein R-Ras 	1.0000	0.9990	9	17	12	17	7	5	5	6	3	3	7	5	5	14813539	12579122	8926751	14813539	5470205	7480637	14813539	12579122	8926751		
sp|P10451|OSTP_HUMAN	P10451	OSTP_HUMAN	SPP1	314	32.20	Homo sapiens OX=9606	1:Experimental evidence at protein level	Osteopontin 	1.0000	0.9990	7	34	34	34	10	15	9	10	15	9	10	15	9	113304644	54438768	77924891	113304644	54438768	77924891	113304644	54438768	77924891		
sp|P10515|ODP2_HUMAN	P10515	ODP2_HUMAN	DLAT	647	28.10	Homo sapiens OX=9606	1:Experimental evidence at protein level	Dihydrolipoyllysine-residue acetyltransferase component of pyruvate dehydrogenase complex, mitochondrial 	1.0000	0.9990	15	44	44	44	19	20	5	19	20	5	19	20	5	50846811	69979452	32361953	50846811	69979452	32361953	50846811	69979452	32361953		
sp|P10586|PTPRF_HUMAN	P10586	PTPRF_HUMAN	PTPRF	1907	12.00	Homo sapiens OX=9606	1:Experimental evidence at protein level	Receptor-type tyrosine-protein phosphatase F 	1.0000	0.9990	17	18	18	21	8	7	3	8	7	3	10	8	3	7982339	5324272	6274571	7982339	5324272	6274571	7982339	5324272	6274571		
sp|P10599|THIO_HUMAN	P10599	THIO_HUMAN	TXN	105	59.00	Homo sapiens	1:Experimental evidence at protein level	Thioredoxin 	1.0000	0.9990	10	116	116	116	26	38	52	26	38	52	26	38	52	249029448	189547382	123840836	249029448	189547382	123840836	249029448	189547382	123840836		
sp|P10606|COX5B_HUMAN	P10606	COX5B_HUMAN	COX5B	129	35.70	Homo sapiens OX=9606	1:Experimental evidence at protein level	Cytochrome c oxidase subunit 5B, mitochondrial 	1.0000	0.9990	8	54	54	54	11	22	21	11	22	21	11	22	21	261166222	369578724	239334178	261166222	369578724	239334178	261166222	369578724	239334178		
sp|P10619|PPGB_HUMAN	P10619	PPGB_HUMAN	CTSA	480	10.00	Homo sapiens OX=9606	1:Experimental evidence at protein level	Lysosomal protective protein 	1.0000	0.9990	6	9	9	9	6	2	1	6	2	1	6	2	1	13021328	5528227	6312320	13021328	5528227	6312320	13021328	5528227	6312320		
sp|P10620|MGST1_HUMAN	P10620	MGST1_HUMAN	MGST1	155	20.00	Homo sapiens OX=9606	1:Experimental evidence at protein level	Microsomal glutathione S-transferase 1 	1.0000	0.9990	4	5	5	5	4	1	0	4	1	0	4	1	0	13784679	492463	     0	13784679	492463	     0	13784679	492463	     0		
sp|P10636|TAU_HUMAN	P10636	TAU_HUMAN	MAPT	758	43.30	Homo sapiens	1:Experimental evidence at protein level	Microtubule-associated protein tau 	1.0000	0.9990	35	172	172	174	47	79	46	47	79	46	49	79	46	304943848	525871032	247957352	304943848	525871032	247957352	304943848	525871032	247957352		
sp|P10643|CO7_HUMAN	P10643	CO7_HUMAN	C7	843	30.60	Homo sapiens OX=9606	1:Experimental evidence at protein level	Complement component C7 	1.0000	0.9990	20	27	27	27	21	3	3	21	3	3	21	3	3	46974508	2765775	3899994	46974508	2765775	3899994	46974508	2765775	3899994		
sp|P10644|KAP0_HUMAN	P10644	KAP0_HUMAN	PRKAR1A	381	42.00	Homo sapiens OX=9606	1:Experimental evidence at protein level	cAMP-dependent protein kinase type I-alpha regulatory subunit 	1.0000	0.9990	15	28	21	28	15	7	6	12	4	5	15	7	6	82978308	82086244	35505455	61442655	15803360	29267707	82978308	82086244	35505455		
sp|P10645|CMGA_HUMAN	P10645	CMGA_HUMAN	CHGA	457	28.00	Homo sapiens OX=9606	1:Experimental evidence at protein level	Chromogranin-A 	1.0000	0.9990	9	19	19	19	7	10	2	7	10	2	7	10	2	17247924	20353470	4890062	17247924	20353470	4890062	17247924	20353470	4890062		
sp|P10768|ESTD_HUMAN	P10768	ESTD_HUMAN	ESD	282	64.20	Homo sapiens OX=9606	1:Experimental evidence at protein level	S-formylglutathione hydrolase 	1.0000	0.9990	15	53	53	53	20	17	16	20	17	16	20	17	16	119482174	116844968	75350933	119482174	116844968	75350933	119482174	116844968	75350933		
sp|P10809|CH60_HUMAN	P10809	CH60_HUMAN	HSPD1	573	83.20	Homo sapiens OX=9606	1:Experimental evidence at protein level	60 kDa heat shock protein, mitochondrial 	1.0000	0.9990	48	328	328	328	103	135	90	103	135	90	103	135	90	618706944	453887520	407776488	618706944	453887520	407776488	618706944	453887520	407776488		
sp|P10909|CLUS_HUMAN	P10909	CLUS_HUMAN	CLU	449	41.40	Homo sapiens OX=9606	1:Experimental evidence at protein level	Clusterin 	1.0000	0.9990	22	267	267	267	77	78	112	77	78	112	77	78	112	1769917216	561947696	1059010704	1769917216	561947696	1059010704	1769917216	561947696	1059010704		
sp|P11047|LAMC1_HUMAN	P11047	LAMC1_HUMAN	LAMC1	1609	36.20	Homo sapiens OX=9606	1:Experimental evidence at protein level	Laminin subunit gamma-1 	1.0000	0.9990	49	73	73	73	47	11	15	47	11	15	47	11	15	51738283	14008132	47678989	51738283	14008132	47678989	51738283	14008132	47678989		
sp|P11117|PPAL_HUMAN	P11117	PPAL_HUMAN	ACP2	423	23.90	Homo sapiens OX=9606	1:Experimental evidence at protein level	Lysosomal acid phosphatase 	1.0000	0.9990	8	13	13	13	3	4	6	3	4	6	3	4	6	5075511	16115174	22490341	5075511	16115174	22490341	5075511	16115174	22490341		
sp|P11137|MTAP2_HUMAN	P11137	MTAP2_HUMAN	MAP2	1827	72.60	Homo sapiens OX=9606	1:Experimental evidence at protein level	Microtubule-associated protein 2 	1.0000	0.9990	113	465	465	465	136	189	140	136	189	140	136	189	140	193944232	221231800	213624124	193944232	221231800	213624124	193944232	221231800	213624124		
sp|P11166|GTR1_HUMAN	P11166	GTR1_HUMAN	SLC2A1	492	12.20	Homo sapiens OX=9606	1:Experimental evidence at protein level	Solute carrier family 2, facilitated glucose transporter member 1 	1.0000	0.9990	6	28	28	28	8	7	13	8	7	13	8	7	13	97313430	38196426	53099166	97313430	38196426	53099166	97313430	38196426	53099166		
sp|P11171|EPB41_HUMAN	P11171	EPB41_HUMAN	EPB41	864	37.40	Homo sapiens OX=9606	1:Experimental evidence at protein level	Protein 4.1 	1.0000	0.9990	27	43	43	53	24	12	7	24	12	7	27	15	11	65976296	34654844	25452281	65976296	34654844	25452281	175943950	195294088	87937733		
sp|P11172|UMPS_HUMAN	P11172	UMPS_HUMAN	UMPS	480	10.00	Homo sapiens OX=9606	1:Experimental evidence at protein level	Uridine 5'-monophosphate synthase 	1.0000	0.9990	5	10	10	10	3	5	2	3	5	2	3	5	2	4780327	8375887	5402536	4780327	8375887	5402536	4780327	8375887	5402536		
sp|P11177|ODPB_HUMAN	P11177	ODPB_HUMAN	PDHB	359	42.30	Homo sapiens OX=9606	1:Experimental evidence at protein level	Pyruvate dehydrogenase E1 component subunit beta, mitochondrial 	1.0000	0.9990	12	57	57	57	15	32	10	15	32	10	15	32	10	48590753	64296909	13647281	48590753	64296909	13647281	48590753	64296909	13647281		
sp|P11182|ODB2_HUMAN	P11182	ODB2_HUMAN	DBT	482	19.50	Homo sapiens OX=9606	1:Experimental evidence at protein level	Lipoamide acyltransferase component of branched-chain alpha-keto acid dehydrogenase complex, mitochondrial 	1.0000	0.9990	7	13	13	13	7	5	1	7	5	1	7	5	1	11721312	9952209	934810	11721312	9952209	934810	11721312	9952209	934810		
sp|P11216|PYGB_HUMAN	P11216	PYGB_HUMAN	PYGB	843	63.00	Homo sapiens OX=9606	1:Experimental evidence at protein level	Glycogen phosphorylase, brain form 	1.0000	0.9990	56	258	203	258	67	103	88	53	81	69	67	103	88	263329020	254930992	290766224	146262108	181817640	187658646	263329020	254930992	290766224		
sp|P11217|PYGM_HUMAN	P11217	PYGM_HUMAN	PYGM	842	52.10	Homo sapiens OX=9606	1:Experimental evidence at protein level	Glycogen phosphorylase, muscle form 	1.0000	0.9990	44	67	64	122	21	35	11	20	34	10	35	57	30	46052067	119241910	24113168	37096906	119241910	24113168	235937596	254852880	243414648		
sp|P11233|RALA_HUMAN	P11233	RALA_HUMAN	RALA	206	45.60	Homo sapiens OX=9606	1:Experimental evidence at protein level	Ras-related protein Ral-A 	1.0000	0.9990	11	47	31	47	14	24	9	9	18	4	14	24	9	123673744	127325754	78833254	123673744	117586554	76634228	123673744	127325754	78833254		
sp|P11234|RALB_HUMAN	P11234	RALB_HUMAN	RALB	206	47.60	Homo sapiens OX=9606	1:Experimental evidence at protein level	Ras-related protein Ral-B 	1.0000	0.9990	8	4	4	20	2	2	0	2	2	0	7	8	5	13320820	3846258	     0	13320820	3846258	     0	39849213	32517741	9896241		
